date,cases
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
03/01/2020,0
03/02/2020,0
03/03/2020,0
03/04/2020,0
03/05/2020,0
03/06/2020,0
03/07/2020,0
03/08/2020,0
03/09/2020,0
03/10/2020,0
03/11/2020,0
03/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,1
3/16/2020,1
3/17/2020,1
3/18/2020,1
3/19/2020,1
3/20/2020,1
3/21/2020,1
3/22/2020,1
3/23/2020,1
3/24/2020,2
3/25/2020,2
3/26/2020,2
3/27/2020,2
3/28/2020,2
3/29/2020,2
3/30/2020,5
3/31/2020,5
04/01/2020,10
04/02/2020,10
04/03/2020,10
04/04/2020,15
04/05/2020,18
04/06/2020,18
04/07/2020,29
04/08/2020,32
04/09/2020,32
04/10/2020,32
04/11/2020,32
04/12/2020,32
4/13/2020,40
4/14/2020,43
4/15/2020,54
4/16/2020,99
4/17/2020,112
4/18/2020,131
4/19/2020,135
4/20/2020,150
4/21/2020,166
4/22/2020,179
4/23/2020,188
4/24/2020,188
4/25/2020,207
4/26/2020,220
4/27/2020,228
4/28/2020,252
4/29/2020,260
4/30/2020,310
05/01/2020,331
05/02/2020,345
05/03/2020,397
05/04/2020,421
05/05/2020,458
05/06/2020,468
05/07/2020,472
05/08/2020,502
05/09/2020,558
05/10/2020,558
05/11/2020,610
05/12/2020,648
5/13/2020,691
5/14/2020,745
5/15/2020,745
5/16/2020,778
5/17/2020,801
5/18/2020,850
5/19/2020,930
5/20/2020,938
5/21/2020,996
5/22/2020,1040
5/23/2020,1075
5/24/2020,1097
5/25/2020,1128
5/26/2020,1138
5/27/2020,1209
5/28/2020,1259
5/29/2020,1303
5/30/2020,1328
5/31/2020,1428
06/01/2020,1450
06/02/2020,1522
06/03/2020,1585
06/04/2020,1762
06/05/2020,1830
06/06/2020,1875
06/07/2020,2171
06/08/2020,2651
06/09/2020,3013
06/10/2020,3326
06/11/2020,3928
06/12/2020,4201
6/13/2020,4725
6/14/2020,5164
6/15/2020,5508
6/16/2020,6158
6/17/2020,7660
6/18/2020,7962
6/19/2020,8292
6/20/2020,8764
6/21/2020,8841
6/22/2020,9260
6/23/2020,9869
6/24/2020,10174
6/25/2020,10306
6/26/2020,10674
6/27/2020,12604
6/28/2020,13934
6/29/2020,14131
6/30/2020,15651
07/01/2020,16041
07/02/2020,17331
07/03/2020,19164
07/04/2020,19366
07/05/2020,20103
07/06/2020,20179
07/07/2020,20700
07/08/2020,20847
07/09/2020,20882
07/10/2020,21135
07/11/2020,21216
07/12/2020,21254
7/13/2020,21454
7/14/2020,22456
7/15/2020,22824
7/16/2020,23151
7/17/2020,23273
7/18/2020,23634
7/19/2020,23741
7/20/2020,23741
7/21/2020,23924
7/22/2020,24550
7/23/2020,24602
7/24/2020,24793
7/25/2020,25180
7/26/2020,25198
7/27/2020,25358
7/28/2020,25389
7/29/2020,25471
7/30/2020,25509
7/31/2020,25509
08/01/2020,25510
08/02/2020,25669
08/03/2020,25669
08/04/2020,25742
08/05/2020,25840
08/06/2020,25903
08/07/2020,25960
08/08/2020,25960
08/09/2020,26228
08/10/2020,26415
08/11/2020,26694
08/12/2020,26714
8/13/2020,26714
8/14/2020,27166
8/15/2020,27166
8/16/2020,27166
8/17/2020,27166
8/18/2020,27166
8/19/2020,27681
8/20/2020,28016
8/21/2020,28016
8/22/2020,28180
8/23/2020,28360
8/24/2020,28440
8/25/2020,29042
8/26/2020,29046
8/27/2020,29059
8/28/2020,29063
8/29/2020,29089
8/30/2020,29089
8/31/2020,29231
09/01/2020,29315
09/02/2020,29390
09/03/2020,29713
09/04/2020,30082
09/05/2020,30537
09/06/2020,30557
09/07/2020,30715
09/08/2020,31048
09/09/2020,31129
09/10/2020,31154
09/11/2020,31234
09/12/2020,31638
9/13/2020,32073
9/14/2020,32098
9/15/2020,32503
9/16/2020,32505
9/17/2020,32576
9/18/2020,32576
9/19/2020,32576
9/20/2020,32576
9/21/2020,32576
9/22/2020,32610
9/23/2020,32619
9/24/2020,32619
9/25/2020,32635
9/26/2020,32642
9/27/2020,32642
9/28/2020,32746
9/29/2020,32789
9/30/2020,32842
10/01/2020,32842
10/02/2020,32842
10/03/2020,32852
10/04/2020,32879
10/05/2020,32977
10/06/2020,33045
10/07/2020,33058
10/08/2020,33058
10/09/2020,33064
10/10/2020,33114
10/11/2020,33118
10/12/2020,33308
10/13/2020,33354
10/14/2020,33447
10/15/2020,33516
10/16/2020,33561
10/17/2020,33614
10/18/2020,33760
10/19/2020,33790
10/20/2020,33824
10/21/2020,33831
10/22/2020,34010
10/23/2020,34023
10/24/2020,34129
10/25/2020,34150
10/26/2020,34217
10/27/2020,34237
10/28/2020,34239
10/29/2020,34258
10/30/2020,34321
10/31/2020,34326
11/01/2020,34342
11/02/2020,34355
11/03/2020,34362
11/04/2020,34440
11/05/2020,34440
11/06/2020,34446
11/07/2020,34458
11/08/2020,34721
11/09/2020,34954
11/10/2020,34967
11/11/2020,35024
11/12/2020,35036
11/13/2020,35067
11/14/2020,35092
11/15/2020,35137
11/16/2020,35160
11/17/2020,35295
11/18/2020,35350
11/19/2020,35370
11/20/2020,35422
11/21/2020,35934
11/22/2020,35976
11/23/2020,36122
11/24/2020,36145
11/25/2020,36232
11/26/2020,36295
11/27/2020,36709
11/28/2020,36716
11/29/2020,36831
11/30/2020,36946
12/01/2020,37218
12/02/2020,37260
12/03/2020,37260
12/04/2020,37393
12/05/2020,37685
12/06/2020,37879
12/07/2020,37920
12/08/2020,38032
12/09/2020,38099
12/10/2020,38141
12/11/2020,38200
12/12/2020,38250
12/13/2020,38252
12/14/2020,38336
12/15/2020,38475
12/16/2020,38505
12/17/2020,38540
12/18/2020,38613
12/19/2020,39006
12/20/2020,39508
12/21/2020,39585
12/22/2020,39692
12/23/2020,40359
12/24/2020,40444
12/25/2020,40784
12/26/2020,41096
12/27/2020,41441
12/28/2020,41543
12/29/2020,41612
12/30/2020,41727
12/31/2020,41727
01/01/2021,41727
01/02/2021,41727
01/03/2021,42530
01/04/2021,42666
01/05/2021,42666
01/06/2021,43291
01/07/2021,43440
01/08/2021,43740
01/09/2021,43948
01/10/2021,44137
01/11/2021,44608
01/12/2021,44850
1/13/2021,45298
1/14/2021,45434
1/15/2021,45465
1/16/2021,45868
1/17/2021,46359
1/18/2021,46554
1/19/2021,46759
1/20/2021,46887
1/21/2021,46912
1/22/2021,46943
1/23/2021,47298
1/24/2021,47365
1/25/2021,47459
1/26/2021,47549
1/27/2021,47583
1/28/2021,47606
1/29/2021,47609
1/30/2021,47679
1/31/2021,47723
02/01/2021,47798
02/02/2021,47982
02/03/2021,47995
02/04/2021,48018
02/05/2021,48027
02/06/2021,48041
02/07/2021,48042
02/08/2021,48109
02/09/2021,48133
02/10/2021,48279
02/11/2021,48390
02/12/2021,48392
2/13/2021,48395
2/14/2021,48433
2/15/2021,48514
2/16/2021,48626
2/17/2021,48798
2/18/2021,48803
2/19/2021,48820
2/20/2021,48834
2/21/2021,48895
2/22/2021,48967
2/23/2021,49086
2/24/2021,49281
2/25/2021,49285
2/26/2021,49288
2/27/2021,49333
2/28/2021,49344
03/01/2021,49347
03/02/2021,49359
03/03/2021,49362
03/04/2021,49362
03/05/2021,49369
03/06/2021,49378
03/07/2021,49402
03/08/2021,49409
03/09/2021,49499
03/10/2021,49499
03/11/2021,49499
03/12/2021,49471
3/13/2021,49477
3/14/2021,49481
3/15/2021,49499
3/16/2021,49536
3/17/2021,49664
3/18/2021,49681
3/19/2021,49681
3/20/2021,49737
3/21/2021,49743
3/22/2021,49752
3/23/2021,49802
3/24/2021,49937
3/25/2021,49994
3/26/2021,49994
3/27/2021,50013
3/28/2021,50666
3/29/2021,51473
3/30/2021,51550
3/31/2021,51788
04/01/2021,51798
04/02/2021,51802
04/03/2021,51885
04/04/2021,51902
04/05/2021,51928
04/06/2021,51940
04/07/2021,51956
04/08/2021,51961
04/09/2021,51962
04/10/2021,51989
04/11/2021,52005
04/12/2021,52013
4/13/2021,52022
4/14/2021,52083
4/15/2021,52105
4/16/2021,52116
4/17/2021,52168
4/18/2021,52244
4/19/2021,52272
4/20/2021,52301
4/21/2021,52348
4/22/2021,52363
4/23/2021,52392
4/24/2021,52489
4/25/2021,52520
4/26/2021,52794
4/27/2021,52974
4/28/2021,53103
4/29/2021,53206
4/30/2021,53272
05/01/2021,53391
05/02/2021,53391
05/03/2021,53694
05/04/2021,53750
05/05/2021,53961
05/06/2021,54019
05/07/2021,54040
05/08/2021,54222
05/09/2021,54382
05/10/2021,54503
05/11/2021,54534
05/12/2021,54619
5/13/2021,54634
5/14/2021,54663
5/15/2021,54686
5/16/2021,55010
5/17/2021,55118
5/18/2021,55529
5/19/2021,55687
5/20/2021,55790
5/21/2021,55889
5/22/2021,56035
5/23/2021,56295
5/24/2021,56518
5/25/2021,56711
5/26/2021,56962
5/27/2021,57119
5/28/2021,57281
5/29/2021,57450
5/30/2021,57629
5/31/2021,57741
06/01/2021,57963
06/02/2021,58070
06/03/2021,58144
06/04/2021,58265
06/05/2021,58622
06/06/2021,58998
06/07/2021,59569
06/08/2021,59871
06/09/2021,60280
06/10/2021,60598
06/11/2021,60939
06/12/2021,61410
6/13/2021,61706
6/14/2021,61820
6/15/2021,62397
6/16/2021,62698
6/17/2021,63426
6/18/2021,63875
6/19/2021,64401
6/20/2021,65071
6/21/2021,65565
6/22/2021,66102
6/23/2021,66799
6/24/2021,67183
6/25/2021,67483
6/26/2021,68288
6/27/2021,69205
6/28/2021,70016
6/29/2021,71012
6/30/2021,71924
07/01/2021,72700
07/02/2021,73635
07/03/2021,74480
07/04/2021,75314
07/05/2021,76218
07/06/2021,77280
07/07/2021,78521
07/08/2021,79446
07/09/2021,80226
07/10/2021,81077
07/11/2021,82586
07/12/2021,82586
7/13/2021,82586
7/14/2021,82586
7/15/2021,82586
7/16/2021,82586
7/17/2021,82586
7/18/2021,82586
7/19/2021,82586
7/20/2021,82586
7/21/2021,82586
7/22/2021,82586
7/23/2021,82586
7/24/2021,82586
7/25/2021,82586
7/26/2021,82586
7/27/2021,82586
7/28/2021,82586
7/29/2021,82586
7/30/2021,82586
7/31/2021,82586
08/01/2021,82586
08/02/2021,82586
08/03/2021,82586
